respondent_id,survey_year,survey_month,survey_platform,response_time_minutes,country,region,age,gender,education_level,employment_status,income_bracket,primary_sport,sport_category,secondary_sport,years_following_sport,fan_loyalty_score,primary_viewing_method,watch_frequency,weekly_hours_watching,streaming_subscriptions,stadium_visits_per_year,merchandise_spend_usd,ppv_spend_usd,total_annual_spend_usd,social_media_follows_athletes,social_media_hours_weekly,creates_sports_content,news_source,sports_betting_participation,fantasy_sports_participation,primary_motivation,willing_to_attend_major_event,extra_spend_willingness_usd,broadcast_quality_rating,athlete_professionalism_rating,event_value_for_money_rating,media_coverage_rating,community_atmosphere_rating,overall_satisfaction_rating,sport_growth_perception_rating,fan_tier
38,2024,8,Online (mobile),13,USA,North America,24,Male,Vocational training,Employed full-time,Over $150k,Tennis,Racquet Sport,,9,2,Free broadcast TV,Weekly,2.9,3,1,13,36,49,Yes,4.0,Yes,Sports website/app,No,No,Entertainment,Definitely yes,32.58,7,7,8,7,10,8,10,Bronze
39,2024,3,Online (mobile),9,Japan,East Asia,41,Male,High school,Employed part-time,$25k–$50k,Tennis,Racquet Sport,Martial Arts,17,4,In-person (stadium/arena),Several times a week,9.2,0,3,43,21,64,Yes,1.3,No,Sports website/app,Yes,Yes,Physical inspiration,Probably not,0.57,7,6,6,8,7,8,7,Gold
40,2024,7,Online (mobile),20,UK,Europe,40,Male,Master's degree,Employed full-time,$50k–$75k,Cricket,Team Sport,Soccer,7,2,Cable/satellite TV,A few times a month,2.0,1,0,66,20,86,Yes,2.9,No,TV sports news,No,Yes,Physical inspiration,Probably yes,3.83,10,7,7,5,8,10,3,Silver
41,2024,1,Online (mobile),21,USA,North America,44,Female,Bachelor's degree,Employed full-time,Over $150k,American Football,Team Sport,Soccer,27,4,Cable/satellite TV,Daily,20.6,6,4,14,63,77,Yes,2.6,No,Sports website/app,Yes,No,Athletic excellence,Probably not,29.51,8,7,8,7,9,8,9,Platinum
42,2024,11,Online (desktop),15,UK,Europe,33,Male,High school,Employed part-time,$100k–$150k,Rugby,Team Sport,Soccer,18,3,Cable/satellite TV,A few times a month,1.8,4,6,97,185,282,Yes,1.0,No,TV sports news,Yes,No,Entertainment,Definitely yes,44.19,9,10,7,9,9,8,9,Gold
43,2024,3,In-app,8,USA,North America,26,Male,Doctorate,Self-employed,Over $150k,Basketball,Team Sport,Ice Hockey,6,5,Streaming service,Several times a week,9.4,6,2,414,71,485,Yes,3.5,No,Sports website/app,No,Yes,Entertainment,Probably yes,18.44,8,5,5,6,8,6,5,Platinum
44,2024,1,In-app,10,Pakistan,South Asia,18,Male,High school,Employed full-time,Over $150k,Kabaddi,Team Sport,Squash,7,2,Streaming service,Daily,13.6,4,3,156,4,160,Yes,2.6,Yes,Sports website/app,No,Yes,Athletic excellence,Definitely yes,14.54,7,4,5,5,10,10,7,Platinum
45,2024,4,Online (mobile),9,India,South Asia,42,Female,Bachelor's degree,Employed full-time,$50k–$75k,Cricket,Team Sport,Soccer,21,3,Cable/satellite TV,Weekly,1.9,0,0,48,20,68,No,1.7,No,Social media,No,No,Social bonding,Probably yes,2.18,9,9,4,6,5,6,8,Silver
46,2024,3,Online (mobile),21,Spain,Europe,38,Male,Some college,Employed full-time,$75k–$100k,Basketball,Team Sport,Cycling,6,3,Cable/satellite TV,Several times a week,7.0,2,1,11,26,37,No,3.7,No,Newspaper/magazine,Yes,Yes,Physical inspiration,Probably yes,4.92,5,6,3,6,8,7,9,Silver
47,2024,12,Online (mobile),8,India,South Asia,22,Female,High school,Retired,Under $25k,Cricket,Team Sport,Wrestling,4,2,Cable/satellite TV,A few times a month,2.9,0,0,6,2,8,Yes,0.0,No,Social media,No,No,Nostalgia,Definitely yes,2.72,8,9,9,10,6,8,6,Bronze
48,2024,9,In-person tablet,11,Germany,Europe,27,Male,High school,Employed full-time,$50k–$75k,Soccer,Team Sport,Tennis,15,2,Social media clips,Several times a week,7.1,0,1,30,13,43,Yes,2.3,No,Social media,Yes,Yes,Community & belonging,Probably yes,3.44,7,8,7,10,6,9,9,Silver
49,2024,2,Online (mobile),16,Germany,Europe,28,Non-binary,High school,Self-employed,$100k–$150k,Soccer,Team Sport,Tennis,12,6,Cable/satellite TV,Weekly,0.7,4,3,61,129,190,Yes,3.2,Yes,TV sports news,No,No,Social bonding,Definitely yes,10.45,9,10,10,8,8,8,8,Gold
50,2024,11,Online (desktop),12,India,South Asia,18,Female,High school,Employed full-time,$50k–$75k,Cricket,Team Sport,Tennis,4,2,Sports bar/pub,Several times a week,7.9,2,0,63,19,82,No,1.9,No,Sports website/app,No,No,Nostalgia,Probably not,9.6,7,6,7,7,8,7,8,Silver
51,2024,12,Online (desktop),7,Nigeria,Africa,24,Male,Master's degree,Employed part-time,$75k–$100k,Athletics,Individual Sport,,5,2,Social media clips,Daily,9.7,5,1,27,68,95,Yes,2.5,No,Social media,No,No,Community & belonging,Probably yes,2.69,9,8,5,5,8,7,8,Silver
52,2024,5,Online (mobile),15,South Africa,Africa,21,Female,Bachelor's degree,Employed full-time,$75k–$100k,Cricket,Team Sport,Athletics,5,3,Radio/podcast,Several times a week,8.3,2,5,9,29,38,Yes,2.1,Yes,TV sports news,No,No,Nostalgia,Maybe,10.7,8,6,4,5,7,6,4,Silver
53,2024,10,Online (desktop),20,China,East Asia,28,Male,Bachelor's degree,Employed full-time,$25k–$50k,Swimming,Individual Sport,Badminton,8,5,Social media clips,Weekly,6.3,0,1,12,17,29,Yes,2.4,Yes,Sports website/app,No,No,Community & belonging,Probably not,7.37,7,6,5,9,9,8,6,Silver
54,2024,3,Online (mobile),10,Pakistan,South Asia,25,Female,Bachelor's degree,Employed full-time,$100k–$150k,Cricket,Team Sport,,5,1,In-person (stadium/arena),Weekly,5.2,3,0,8,14,22,Yes,3.3,No,TV sports news,No,No,Gambling/betting,Definitely yes,28.7,8,10,7,5,9,7,5,Bronze
55,2024,3,Online (mobile),10,Australia,Oceania,18,Female,Doctorate,Employed full-time,$50k–$75k,Cricket,Team Sport,Tennis,1,2,In-person (stadium/arena),Weekly,6.3,2,2,14,53,67,No,5.3,No,TV sports news,No,No,Social bonding,Probably yes,0.14,7,5,4,8,10,6,5,Silver
56,2024,11,In-app,17,China,East Asia,55,Male,Doctorate,Employed full-time,$25k–$50k,Basketball,Team Sport,,39,8,Streaming service,Monthly or less,0.5,1,2,123,2,125,No,0.0,No,Social media,No,No,Entertainment,Definitely yes,0.54,6,4,7,10,6,7,7,Gold
57,2024,5,Online (mobile),16,USA,North America,47,Female,Master's degree,Self-employed,$100k–$150k,Baseball,Team Sport,,30,5,Free broadcast TV,Weekly,3.8,5,5,62,44,106,Yes,3.4,No,TV sports news,No,No,Nostalgia,Definitely yes,50.98,8,5,5,5,6,8,6,Gold
58,2024,2,Online (mobile),9,India,South Asia,24,Male,Doctorate,Retired,$50k–$75k,Wrestling,Combat Sport,Badminton,3,1,In-person (stadium/arena),Monthly or less,0.5,1,0,3,25,28,Yes,3.8,No,Social media,No,No,Athletic excellence,Definitely yes,1.3,8,7,4,5,8,10,8,Bronze
59,2024,5,Online (desktop),21,USA,North America,36,Male,Bachelor's degree,Employed full-time,$75k–$100k,American Football,Team Sport,Soccer,16,3,Cable/satellite TV,Daily,11.1,3,2,139,6,145,Yes,2.7,No,Sports website/app,No,No,National pride,Probably yes,9.46,6,7,5,8,5,10,5,Gold
60,2024,3,Online (desktop),9,India,South Asia,38,Male,Bachelor's degree,Self-employed,$50k–$75k,Cricket,Team Sport,Tennis,9,3,Free broadcast TV,Daily,10.3,1,1,14,16,30,Yes,1.0,No,Social media,No,No,Entertainment,Probably yes,1.59,8,6,6,9,10,9,6,Silver
61,2024,2,Online (desktop),15,Brazil,South America,46,Female,Bachelor's degree,Retired,$50k–$75k,Athletics,Individual Sport,,18,5,Cable/satellite TV,Several times a week,5.4,1,0,111,65,176,Yes,0.7,No,TV sports news,Yes,No,Gambling/betting,Definitely yes,16.11,8,7,9,5,7,10,10,Gold
62,2024,5,In-app,8,India,South Asia,24,Male,Bachelor's degree,Student,$100k–$150k,Badminton,Racquet Sport,Field Hockey,7,2,Cable/satellite TV,Daily,18.3,6,3,44,94,138,Yes,2.4,No,TV sports news,Yes,Yes,Entertainment,Definitely yes,1.88,2,4,6,8,6,9,5,Gold
63,2024,3,Online (mobile),16,France,Europe,45,Male,Bachelor's degree,Employed full-time,$50k–$75k,Tennis,Racquet Sport,,16,5,Cable/satellite TV,Several times a week,3.8,2,2,60,54,114,Yes,3.1,No,Podcast/radio,No,No,Entertainment,Definitely yes,0.43,10,7,5,9,7,5,8,Gold
64,2024,8,In-app,9,Brazil,South America,27,Female,Bachelor's degree,Student,$50k–$75k,Basketball,Team Sport,Soccer,19,2,Free broadcast TV,Several times a week,10.7,6,0,22,33,55,Yes,3.9,No,Social media,Yes,No,Community & belonging,Probably yes,5.42,10,4,9,8,8,8,4,Silver
65,2024,2,Online (desktop),11,India,South Asia,18,Male,Vocational training,Employed full-time,Under $25k,Badminton,Racquet Sport,Cricket,4,1,Social media clips,Weekly,5.9,0,0,1,13,14,No,1.7,No,Social media,No,No,Community & belonging,Maybe,0.7,6,6,8,6,8,8,9,Bronze
66,2024,7,Online (desktop),10,Germany,Europe,41,Male,Master's degree,Employed part-time,$100k–$150k,Soccer,Team Sport,Tennis,11,2,Social media clips,Weekly,4.7,3,0,33,14,47,Yes,0.0,No,Sports website/app,Yes,Yes,Social bonding,Maybe,17.83,8,6,6,8,8,8,6,Bronze
67,2024,8,Online (mobile),6,USA,North America,47,Male,Bachelor's degree,Employed full-time,Under $25k,Baseball,Team Sport,,14,5,Free broadcast TV,Monthly or less,0.5,0,0,5,5,10,Yes,2.3,No,Social media,No,No,Entertainment,Probably yes,2.6,6,7,3,6,6,7,6,Bronze
68,2024,7,Online (mobile),9,France,Europe,61,Male,Master's degree,Employed full-time,$100k–$150k,Soccer,Team Sport,Basketball,42,6,Streaming service,A few times a month,0.5,5,3,337,4,341,Yes,0.0,No,Sports website/app,No,Yes,Entertainment,Maybe,9.07,5,7,5,7,8,5,9,Gold
69,2024,2,Online (desktop),12,USA,North America,20,Male,Some college,Employed full-time,$25k–$50k,American Football,Team Sport,Soccer,1,2,Sports bar/pub,Daily,11.6,4,1,41,6,47,Yes,4.6,No,Podcast/radio,No,No,Entertainment,Probably yes,8.1,7,5,8,7,7,7,3,Silver
70,2024,9,Online (desktop),8,Nigeria,Africa,41,Male,High school,Employed full-time,$75k–$100k,Soccer,Team Sport,Wrestling,11,3,Streaming service,Several times a week,9.3,0,0,33,47,80,Yes,1.4,No,Social media,No,No,Community & belonging,Probably yes,11.83,6,7,9,8,7,7,7,Silver
71,2024,10,In-app,6,South Africa,Africa,28,Non-binary,Bachelor's degree,Student,Over $150k,Soccer,Team Sport,Rugby,18,5,Social media clips,Several times a week,8.0,6,2,28,49,77,Yes,3.8,Yes,Sports website/app,Yes,No,Entertainment,Definitely yes,5.34,7,10,6,7,8,8,8,Gold
72,2024,6,In-app,13,India,South Asia,42,Female,Bachelor's degree,Employed full-time,$25k–$50k,Cricket,Team Sport,Tennis,20,3,Cable/satellite TV,Daily,9.8,1,0,84,13,97,Yes,0.8,No,TV sports news,No,No,Social bonding,Definitely yes,0.37,8,6,6,7,5,7,4,Silver
73,2024,9,Online (desktop),22,USA,North America,18,Male,High school,Employed part-time,$50k–$75k,Tennis,Racquet Sport,,5,3,Cable/satellite TV,Weekly,5.7,1,2,147,90,237,Yes,4.6,No,Social media,No,No,Athletic excellence,Maybe,10.63,9,6,4,6,8,8,6,Gold
74,2024,3,Online (mobile),15,France,Europe,19,Male,Master's degree,Employed full-time,$75k–$100k,Cycling,Individual Sport,Basketball,11,2,Free broadcast TV,Weekly,6.5,2,0,60,18,78,Yes,3.6,Yes,Social media,Yes,Yes,Nostalgia,Definitely not,19.05,7,4,8,8,10,10,5,Silver
75,2024,9,Online (desktop),17,Japan,East Asia,24,Male,Bachelor's degree,Employed full-time,$75k–$100k,Sumo,Individual Sport,Baseball,9,5,In-person (stadium/arena),Several times a week,7.5,0,1,115,8,123,Yes,2.6,No,Podcast/radio,No,No,Nostalgia,Maybe,18.8,9,8,4,6,8,7,6,Gold
76,2024,3,Online (desktop),13,Canada,North America,34,Female,Bachelor's degree,Employed part-time,$50k–$75k,Soccer,Team Sport,,9,2,Cable/satellite TV,Weekly,4.2,1,1,17,10,27,Yes,3.5,No,Social media,No,Yes,Gambling/betting,Definitely yes,1.31,8,4,5,6,10,6,7,Bronze
77,2024,3,Online (mobile),13,South Africa,Africa,26,Male,High school,Retired,$75k–$100k,Cricket,Team Sport,,8,2,Free broadcast TV,Weekly,1.7,1,1,3,8,11,Yes,3.2,No,Sports website/app,No,No,National pride,Definitely yes,2.86,8,2,9,9,9,8,8,Bronze
78,2024,12,Online (mobile),13,USA,North America,40,Male,High school,Employed full-time,$75k–$100k,Ice Hockey,Team Sport,American Football,8,3,Cable/satellite TV,Daily,12.0,1,1,25,15,40,Yes,0.5,No,Social media,No,No,National pride,Probably yes,9.73,5,7,8,8,7,8,8,Silver
79,2024,8,In-app,12,Brazil,South America,44,Female,Doctorate,Employed full-time,$100k–$150k,Athletics,Individual Sport,Soccer,31,5,Cable/satellite TV,Several times a week,9.0,1,3,53,5,58,No,1.0,No,TV sports news,No,No,Entertainment,Maybe,2.78,7,8,9,6,6,8,9,Gold
80,2024,6,Online (desktop),9,USA,North America,40,Male,Bachelor's degree,Student,$75k–$100k,Baseball,Team Sport,American Football,22,5,In-person (stadium/arena),A few times a month,2.4,1,3,18,168,186,Yes,0.9,No,Social media,No,No,National pride,Definitely yes,2.98,7,4,5,6,7,6,7,Silver
81,2024,1,Online (desktop),14,Argentina,South America,51,Male,Vocational training,Employed full-time,$25k–$50k,Soccer,Team Sport,Athletics,35,6,Cable/satellite TV,Several times a week,7.0,0,2,166,33,199,Yes,0.0,No,Sports website/app,No,No,Athletic excellence,Maybe,8.61,9,5,4,6,8,8,6,Platinum
82,2024,2,Online (mobile),9,Spain,Europe,38,Female,Vocational training,Student,Over $150k,Soccer,Team Sport,Handball,25,3,Free broadcast TV,Several times a week,7.5,5,2,259,314,573,No,1.9,No,Social media,No,Yes,Entertainment,Probably yes,10.46,5,6,10,5,8,8,9,Gold
83,2024,10,Online (desktop),10,India,South Asia,20,Female,Bachelor's degree,Employed part-time,$50k–$75k,Badminton,Racquet Sport,Cricket,5,4,Streaming service,Several times a week,7.1,1,2,13,33,46,Yes,1.2,No,Social media,Yes,No,Athletic excellence,Maybe,0.1,9,10,8,9,9,9,10,Silver
84,2024,8,Online (desktop),5,USA,North America,48,Male,Bachelor's degree,Employed full-time,Under $25k,Basketball,Team Sport,,12,4,Cable/satellite TV,Several times a week,7.4,3,2,17,0,17,Yes,0.0,No,Podcast/radio,No,No,Community & belonging,Probably yes,2.71,8,8,9,8,6,8,7,Silver
85,2024,7,In-person tablet,13,India,South Asia,26,Female,Master's degree,Employed full-time,$25k–$50k,Cricket,Team Sport,,9,4,Streaming service,Daily,15.0,3,1,107,20,127,Yes,2.7,No,Social media,No,No,Community & belonging,Maybe,1.15,6,8,8,6,6,9,8,Platinum
86,2024,8,Online (mobile),8,India,South Asia,43,Male,Vocational training,Employed full-time,Under $25k,Badminton,Racquet Sport,,11,2,Cable/satellite TV,A few times a month,0.5,1,0,1,7,8,Yes,4.8,No,Newspaper/magazine,No,No,Nostalgia,Definitely yes,0.63,8,9,10,8,8,9,8,Bronze
87,2024,8,Online (desktop),14,Canada,North America,50,Female,Bachelor's degree,Employed full-time,Under $25k,Soccer,Team Sport,Baseball,24,5,Cable/satellite TV,Daily,13.2,1,0,102,1,103,Yes,1.4,Yes,Podcast/radio,No,No,Entertainment,Maybe,0.04,7,10,7,8,6,7,7,Platinum
88,2024,6,Online (mobile),13,Spain,Europe,38,Male,Master's degree,Unemployed,$25k–$50k,Basketball,Team Sport,Cycling,24,5,In-person (stadium/arena),Several times a week,8.7,0,0,8,35,43,Yes,4.8,No,Social media,No,Yes,Entertainment,Probably not,4.99,8,7,6,7,7,9,8,Silver
